Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
TEE SHIRT PANNEAU MAXIME;XXL;1437;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2233;2033003134845;;;
TEE SHIRT PANNEAU TROPEZ;XXS;1438;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2219;1651669513180;;;
TEE SHIRT PANNEAU TROPEZ;XS;1439;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2220;1652273217631;;;
TEE SHIRT PANNEAU TROPEZ;S;1440;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2221;1684285397919;;;
TEE SHIRT PANNEAU TROPEZ;M;1441;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2222;1725967465240;;;
TEE SHIRT PANNEAU TROPEZ;16 ANS;1442;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2810;1613608627976;;;
TEE SHIRT PANNEAU TROPEZ;XXXL;1443;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2226;2058478937869;;;
TEE SHIRT PANNEAU TROPEZ;XXL;1444;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2225;2083061187703;;;
TEE SHIRT PANNEAU TROPEZ;L;1445;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2223;1754577622323;;;
TEE SHIRT PANNEAU TROPEZ;XL;1446;;VETEMENT;9,600000;20,833333;25,00;;25,00;25,00;;2224;2083054749246;;;
TL CLEAR TROPEZ;;1447;2063915161554;VERRE;1,470000;5,416667;6,50;;6,50;6,50;;;;;;
TORCHON B;;1448;2068715343957;PRODUITS BLONDE;4,000000;8,333333;10,00;;10,00;10,00;;;;;;
TOTE BAG 6;;1449;2099157730562;SAC;8,500000;20,833333;25,00;;25,00;25,00;;;;;;
TOTE BAG BEIGE;;1450;2088612427833;SAC;8,500000;20,833333;25,00;;25,00;25,00;;;;;;
TOTE BAG BI COLOR;;1451;2075792420099;SAC;8,500000;20,833333;25,00;;25,00;25,00;;;;;;
TOTE BAG BLEU NUANCE;;1452;2086398773786;SAC;8,500000;8,333333;10,00;;10,00;10,00;;;;;;
TOTE BAG CŒUR;;1453;2054404352010;SAC;8,500000;20,833333;25,00;;25,00;25,00;;;;;;
TOTE BAG NOIRE;SAINT TROPEZ;1454;2040883702484;SAC;11,300000;16,583333;19,90;;15,00;15,00;;2075;2006388641635;;4,083333;4,90
